"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.20227830421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.929740519441,216.373421308181,215.91968896008,216.120234823141,215.823161288016,215.821112017426,215.843701353359,216.295506958244,216.578953228349,217.364354012703,217.99456236646,217.54792624537,216.687393634487,216.858963175173,216.209362335231,215.819714058711,215.764566765375,215.291327038721,214.387306819556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.243284931457,217.237836713261,216.773187587722,217.269128805379,218.277969455036,218.468724604946,217.638287676424,217.404781244233,217.539057524047,217.066237183766,217.043272490247,216.754661958499,217.718723430569,218.189169996435,217.635317396498,218.068087697285,217.991617343644,217.322263964455,217.626389082322,217.285476863715,216.379494911887,215.432961585719,216.192398199109,216.249839249462,214.383693224336,214.591669330312,213.917396257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.217485343999,217.733981851803,217.800903350012,218.191994890632,218.314661702108,218.88135880588,218.714555402685,219.220491443971,218.729123424435,218.994572448824,219.139219409449,218.81208023154,218.547739059449,218.600678309266,218.19030811072,219.142250796011,219.2864806851,219.497737412589,218.890213102255,218.66510421695,218.38785099823,218.265802762025,217.776572165309,216.885514193886,217.264241200536,217.140532869998,216.674745872692,216.542283145861,216.492431783755,216.118684379987,214.910496150893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.238668951562,218.497840247764,218.94657684467,218.966468060535,219.181488039889,219.141741364961,219.148216741808,219.358290161588,219.216627211449,219.455905026535,219.760944800581,220.849609588038,220.915922643451,220.349506855855,220.425169550536,220.477099734442,220.747931511356,220.471483033278,220.236713731786,220.261188592129,220.016740569736,219.473740885354,220.414133968957,219.393686835729,218.965106282385,218.583773637883,219.055867560393,218.440983705051,219.207402856079,218.36793565072,217.678325159582,217.896696304557,217.71012460555,216.248756968326,215.179187549203,214.287507334076,213.377409644129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.84349434924,218.580444351161,219.585262817142,220.04884266365,220.034340351449,219.964435172932,219.271558790877,220.184715862141,220.433318332994,219.946014334397,220.122505129079,219.959308263635,220.772061830612,220.445896701518,222.330062816781,222.424066973467,222.090288205274,222.197807914968,222.415951286716,222.123200893162,222.285817503875,221.64733783214,221.378777637657,221.365509824112,221.433798485789,221.146087933976,220.897514127002,219.822547107423,219.621202565635,219.43033446028,219.910518452105,219.284606918495,219.628239819733,219.433910699001,218.991223898684,218.168106640842,217.205521739886,216.424345962679,215.276788177022,214.488623872589,213.609804842048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.759453740583,218.570945796917,218.646925125671,220.063684145415,221.412694993433,220.892293493254,221.199449551036,220.864030105258,219.953675205539,220.853435017825,220.827883998623,221.430126985568,221.301623168302,222.486116333025,222.466384936465,222.281919529423,222.812587835534,223.783863704983,224.119808644795,223.639100844814,223.866585738901,222.89458958881,223.054000045117,223.732094681434,223.117314530479,223.258047663606,223.84422289965,221.667372480523,221.106904937647,220.347889242345,220.694820715191,220.813228294303,221.381050428644,221.209023893191,221.326395327864,221.062561202113,220.13171201356,220.277922861539,220.024762536641,218.223379258373,217.676283543554,217.207685210003,215.932380839344,214.53663143322,213.337144397445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.796675996699,219.43090135938,220.154784679668,220.472258220716,221.519907710156,221.918695800351,221.53741331073,221.945293221731,221.355970083671,221.458558625749,221.658879853703,221.641953067057,222.605477159318,222.642412495384,223.815381516302,224.192076665425,224.013164787684,224.442145115192,224.751032439956,225.500154557128,225.041407215196,224.763739705826,224.108665893519,224.149636372435,225.428035534341,224.858601785437,224.921676422932,224.149141063038,223.649865243045,222.069360925158,221.655403644669,221.953188513423,222.354451001312,222.479627890159,223.204286355831,223.270058451676,222.211175695771,221.389396577802,222.059916389409,221.294583266309,220.791232076876,219.790639532273,219.085872968887,217.862735226824,217.803829037383,215.994544582734,214.635679126084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.911966967106,218.174095783534,219.62834032218,220.338423998811,220.283314466317,221.05668222368,221.988987877015,222.566201766173,222.604988360413,221.941037955096,222.941135113864,222.385137969635,222.528132655886,223.276560154981,223.328254040837,224.292455920339,224.894441364592,225.490000590704,226.537769083261,226.041545472409,226.853408072062,226.603654591788,227.054539272427,226.02973228536,225.956261954099,225.468034059316,226.118360297172,225.65826406613,225.257633454841,225.333598922841,225.278371746066,223.432799641233,223.887394544023,223.942892685961,224.287277117897,224.584873410496,224.883163163225,224.767664161925,224.081359799991,223.788741614124,223.674957753332,223.374479794225,222.737311700893,221.871761719074,220.611612024107,220.323469088306,218.948112935244,218.128979444818,216.551247097429,214.766776233131,213.091950115851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.856195326681,218.24891455858,218.972914238621,220.482424431722,221.348808562758,221.198103866342,221.756510888363,222.133828777801,222.341490182384,223.007858129928,223.688852688285,223.300781169092,223.964554318264,223.510869303097,224.018271267801,224.740748092515,225.756269231453,225.773815861308,226.791266446444,227.180221754561,228.188442445892,228.21404896666,228.472357288448,227.906532911158,227.709813530892,227.295729264467,226.978514533734,227.414343710354,226.997163462803,227.154414322242,227.379635142932,226.61201045992,226.429381687695,226.302732063373,226.392741383223,226.478824408916,226.990383264932,226.600339866886,225.988131460002,225.464426131613,225.65090552168,225.733408909685,225.276306642207,224.972438303682,223.960692460566,223.444437390099,222.359548392917,221.485085948239,220.572302162934,218.142758019911,217.246970052287,215.672698804277,213.928756292309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
