"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144.96178162271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166.45828396343,1184.93136658059,1165.38620208067,1171.00372122898,1181.89170777764,1181.75706295389,1167.92809657631,1175.26592735432,1177.65549507049,1192.68604418766,1208.82162980212,1201.30112418571,1202.34008911676,1190.85053638146,1198.30449990816,1202.60134708057,1185.59057013794,1185.19494830568,1163.10467368724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141.67753392955,1171.00384286304,1185.59057013794,1190.97791533881,1188.09189221122,1186.77573729256,1178.05393555053,1180.83550027281,1185.59057013794,1187.69735202197,1185.32695911297,1185.72234635054,1194.5173277941,1192.68604418766,1211.53256362726,1200.26038841578,1210.37184369102,1209.8552529679,1221.42324284624,1208.30459735946,1211.53256362726,1183.47956654338,1190.58623829406,1170.46999107196,1149.18449345612,1151.89945326933,1152.44305716161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1149.18291694026,1156.90795766133,1178.05393555053,1182.94225940839,1179.24764150708,1185.85412256314,1199.34820849324,1196.0869148265,1203.12049294818,1194.5173277941,1185.59057013794,1185.72234635054,1185.32695911297,1200.26038841578,1201.30112418571,1205.3261545403,1206.49285120137,1212.69328356349,1210.37184369102,1215.65158779121,1221.93494098499,1228.56557924412,1220.91154470748,1202.60134708057,1202.34143754885,1184.53577404821,1180.83550027281,1171.6708079559,1190.85053638146,1195.04184027171,1182.42335903855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175.39795889069,1183.47859446131,1176.06307847415,1169.39960218944,1176.46178911394,1188.09189221122,1185.06035553026,1200.78088304459,1200.78096765036,1193.99539362596,1194.90901678447,1201.1675772557,1197.26215401636,1194.5173277941,1185.59057013794,1185.85412256314,1197.65384300673,1206.49285120137,1201.56103371743,1207.01065938735,1206.49285120137,1207.52846757333,1202.60134708057,1212.69284549955,1222.06247752274,1211.01696264814,1202.60134708057,1184.53577404821,1202.60134708057,1190.84637282396,1169.93540780957,1190.85053638146,1188.09189221122,1206.75183861472,1199.34820849324,1171.8041645258,1148.32661793181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163.23901241318,1196.74030039091,1212.69328356349,1202.47140636084,1177.39118393166,1175.66463799411,1160.00627126956,1175.66463799411,1185.19494830568,1194.51861694883,1187.69735202197,1178.18716679482,1185.72234635054,1183.08300192893,1188.48643240047,1192.15452422611,1193.86394222968,1198.17569663218,1198.69618889853,1196.60876845194,1211.53256362726,1209.59704034029,1220.65556157337,1207.01065938735,1218.86217432489,1224.48873219371,1222.9574808635,1207.39872428041,1202.60134708057,1198.03846082154,1184.53577404821,1180.29528506897,1189.27394420171,1184.26440226053,1181.23286557957,1201.3013776734,1206.49285120137,1187.96043705167,1179.24764150708,1158.12348219005,1144.82531418553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173.93568818739,1191.37514024374,1198.56599469064,1209.33866224478,1201.17129630991,1193.47079218887,1187.96043705167,1179.24764150708,1158.12348219005,1171.40400369442,1185.06317209308,1185.72234635054,1177.12525771436,1185.06317209308,1186.77573729256,1187.69735202197,1188.48643240047,1198.17569663218,1185.59057013794,1185.72234635054,1193.86394222968,1195.04184027171,1207.01065938735,1220.65556157337,1220.65556157337,1216.42107170875,1229.83738762488,1210.37184369102,1205.45564824697,1204.15945787923,1208.17443947751,1206.87824910976,1202.08152801713,1195.69522583613,1188.48643240047,1190.85053638146,1194.51861694883,1200.26038841578,1207.14015309402,1192.68604418766,1183.47956654338,1171.8041645258,1153.52719950593,1141.27122105133,1122.21532943095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185.59057013794,1203.25046176017,1198.69491317349,1203.25046176017,1206.62234490804,1196.34861140054,1186.90727980741,1190.19169810481,1185.72234635054,1171.40400369442,1171.6708079559,1176.86022959398,1176.72654707457,1163.77605731634,1171.8041645258,1178.18716679482,1186.77573729256,1193.34071890681,1188.09189221122,1185.72234635054,1187.69735202197,1206.49285120137,1197.13198938129,1200.91104901385,1220.65556157337,1213.85178579289,1229.83738762488,1218.22087025674,1210.37184369102,1204.67659284764,1218.86217432489,1219.88728987559,1209.98444201566,1198.56168414442,1185.59057013794,1188.09189221122,1191.76413633609,1191.37514024374,1194.5173277941,1191.76829028456,1192.68604418766,1179.24764150708,1187.69735202197,1176.32855564299,1170.32606471749,1136.05407927452,1130.5419054595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1197.65111434375,1176.06307847415,1188.2205532597,1196.34861140054,1204.15945787923,1207.01065938735,1198.69491317349,1194.5173277941,1192.68604418766,1186.7755035948,1189.66848439096,1177.2567844307,1175.52590301644,1169.66848191403,1168.06436287449,1156.23156012578,1178.71740415095,1188.09189221122,1192.29289414684,1191.37514024374,1191.36959614684,1192.41752190051,1191.76829028456,1207.52846757333,1213.72360939384,1209.33866224478,1213.72360939384,1226.65687719364,1226.01998352392,1213.85178579289,1205.45297222001,1202.60134708057,1220.91154470748,1206.75183861472,1202.60134708057,1213.33618481378,1207.14015309402,1203.12049294818,1190.85053638146,1187.82889453682,1187.96043705167,1206.49285120137,1196.0869148265,1190.96959076924,1186.64396107995,1181.89170777764,1173.93568818739,1150.27170703273,1150.27170703273,1130.1271291145,1102.55385356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199.73853715279,1190.19308825325,1195.69522583613,1191.89974410602,1218.86217432489,1201.17129630991,1196.74030039091,1202.47140636084,1202.3414656411,1204.15945787923,1206.75183861472,1189.27394420171,1190.85053638146,1184.53577404821,1185.59057013794,1167.26175299288,1182.42335903855,1170.7369169675,1185.59057013794,1187.69735202197,1193.99539362596,1196.60876845194,1195.17200251325,1213.58338584217,1209.5952745893,1209.33866224478,1210.62956097278,1219.11853402366,1227.29377086336,1229.83738762488,1220.91151787768,1202.60134708057,1213.58830326444,1211.01696264814,1219.88728987559,1204.15945787923,1219.88728987559,1204.15945787923,1196.34861140054,1192.29289414684,1198.30449990816,1200.26038841578,1206.49285120137,1200.5207203543,1200.5207203543,1187.69735202197,1175.26592735432,1174.60080777085,1160.54690857567,1151.08644332213,1152.44305716161,1138.6609560806,1111.72526077794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
