"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.673949169151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.997216213559,168.371669295205,167.775164725501,167.087794537478,166.412600745581,166.710297193921,165.794229141425,166.406150278503,166.210623626776,166.36369373668,165.906663069649,163.219572413016,162.797256315213,163.078362560566,164.123480485242,164.302096186982,163.838332261069,162.808365511481,162.79263544194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.390374807735,166.528571461818,167.315342507212,166.219348971228,168.434452158057,169.319394506071,169.772416724739,170.252622237186,169.046636523554,168.76939643533,168.735469025269,168.303141883306,167.913539328535,168.463195537024,166.84593128797,164.991130858843,164.866580022653,165.592005935692,166.01880551599,164.353261647979,165.856031867193,165.65911126527,163.764442755681,164.183538528719,162.678066827249,163.770070700501,165.125620837911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.786818186487,166.251653147389,167.018390655442,167.567711301344,167.426176840583,168.405240983709,169.97067702963,169.638114286462,170.950355703693,170.805961295597,171.146117890648,171.566886966215,171.086825415136,169.439795297747,169.835493583723,170.465565618199,167.491080519769,168.436539997061,167.793274421572,166.203828159069,167.005351635949,165.59936804862,165.989951098245,165.713244158945,166.146367956908,165.356011660828,164.907751340711,164.405216077376,166.248830569367,165.629507040192,165.421221112069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.960303499975,167.737571729275,168.353122575774,168.781529270668,168.171250228286,168.889618545811,169.100544558546,170.371546985712,171.138981732458,171.483710593447,172.464156952425,172.358781276646,172.652662234842,172.679983124465,173.370276052567,173.22670962076,172.121446616516,171.177951288463,171.63409508781,169.891332235581,170.272463759127,169.031715096083,168.649922985745,168.15861908704,167.614683396603,166.546047875477,167.15663183002,167.382416322757,167.720962665398,167.899232733844,167.627868168816,167.295940950261,167.74576333668,166.113936743501,166.268777108402,165.66864004447,167.589146071103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.648312265973,166.626161605921,169.185868158904,169.942504937878,169.839724125638,168.497526640627,168.961216151506,169.844987703758,171.098348618209,172.23139961393,172.411206940128,172.910247251597,174.54232952333,174.19118998523,173.959556410051,173.66642476464,173.363212255167,173.555153178339,173.458914445626,173.260125159533,172.581396085445,172.04548225402,172.02409165172,170.914140227601,169.188129571138,170.402748440807,169.371536572563,168.26326779791,167.767012019434,167.886887446278,169.413133222564,169.409158188505,169.263427969625,168.364856764636,167.349582701013,167.03135557381,166.777261613158,166.614290044635,167.893765440484,168.834073497144,170.614470024895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.284110292828,165.33962596232,166.938670242504,168.996326706572,169.872317723543,171.016077810643,170.956214773467,170.004858202879,171.694126085346,171.207346801787,170.989430605697,172.416713626298,172.859950565419,173.980712098358,174.622097036963,174.278977801334,173.519682599778,173.673134209134,174.465554281647,173.396170586412,175.918124831649,173.66171188362,172.367019834252,172.719916461658,172.653290743175,172.490163518593,171.518692646122,171.56472544905,171.085980102894,169.965614313908,169.945562944367,169.992960853409,171.09703730415,171.230297670527,169.683764409359,170.158176245232,170.004488135603,168.439539931659,168.171998573054,169.55813606089,169.40627638716,170.329939499593,171.315162392254,170.774038950039,170.269985870455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.692651062508,164.829957773247,168.178671320407,169.084829506717,169.865573573492,171.152203760727,171.243628940114,172.685696190693,174.579761646332,174.081365280754,173.512238451554,174.06855235738,173.497210963286,175.526697604122,175.05380677385,175.135402372225,175.246076636953,175.036586327014,175.734031320346,175.667857304527,175.019806748506,176.088744850625,175.45878204776,172.602205160323,174.928221877541,174.145479240129,173.873386633182,173.123267450344,173.442777642673,172.23191302785,172.708960077185,172.446330667625,173.015598521877,173.400982814996,172.453389567851,171.662253931403,170.653864912029,170.869326182119,169.932792228236,169.978795690781,170.458345525016,170.740571030577,170.982724383627,170.579196306082,170.880482610125,171.315133768808,170.66117123181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.137331911652,163.625840184478,164.659207357234,166.719424784989,167.812439814558,169.782544402418,170.375184381152,171.502830525116,173.858976042633,173.994084236373,175.035899635069,174.46485032357,175.618088842509,175.825822555428,176.23185235742,177.411082621732,177.573156305498,177.156993113482,176.924454985037,177.32736680137,176.517932678933,174.827713308566,176.197627396534,175.149098815388,175.203137749488,176.673960291566,175.711957934359,176.521531682605,176.636389422181,175.15179767703,174.579097806232,175.225005540369,174.208482878144,174.357782367864,173.655186322176,174.371319843878,174.553398417388,173.750348513771,172.513789941919,173.047683169747,173.006992526728,172.206080176456,172.020274648694,173.062728013355,172.456806127099,173.288681016724,172.835553990796,172.205916008661,171.934750671716,171.031307866974,170.7960389872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.190194567952,162.338519693139,164.835217749657,165.344584381548,166.919113063175,169.570405533762,169.727653548982,170.922656393992,173.141242544694,175.688507537945,173.806697675649,174.902699720405,174.244779538159,175.514806718257,176.028479464591,176.739018873267,177.336082402179,179.40591066305,178.930776766859,178.839669618228,179.094773436518,177.90561055112,175.879419379971,176.424528152448,177.67208059951,178.871936296582,178.526721863831,179.562065182297,179.707640149508,179.226416611504,176.788137511418,176.078282187294,176.136501695205,176.117174629945,174.589873073574,175.986928886352,176.258501178519,175.986620905797,175.520591638229,174.253709429898,174.705837199303,173.078370212243,173.505507518749,173.944071459381,173.624647950943,174.351202669348,175.762506351967,174.392983163129,175.219578655258,174.124712956824,171.731844515032,171.458719058084,170.373107066603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
