"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.740436141226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.135792592777,194.718682547145,196.047089870151,194.981777607991,194.599423103213,194.219470893218,193.64706404436,195.145668577844,194.955629901569,195.590103688215,195.048733380843,191.119495309613,190.174038645345,190.770331187931,191.922797921711,190.154356231243,188.946689845367,188.286393149493,188.547666745009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.32699300434,196.009118518363,197.134138030703,196.430732801336,196.596212778014,196.466263313803,197.10899381569,197.401148325561,197.588726968906,196.836021890548,197.49032220143,197.556133183204,196.760647542107,197.968845011682,196.720078659614,195.071911179988,193.582405043267,194.036168582493,193.409905941264,190.581768002345,191.674523615707,190.567631360752,190.204295876748,190.707097277431,190.496914815403,190.834532733926,191.643417586039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.270763698014,195.611251805097,197.758340229179,197.477832920609,197.645549643433,198.615633853197,200.061934694296,198.781319901257,198.140401086505,199.234363032901,201.048947675555,201.442232566756,200.690270223833,199.926542781639,200.895937226585,199.43412337061,198.437433848587,198.25628416761,196.898577081533,195.405177012627,194.922480167368,193.364839901312,191.681380488543,192.488596500195,192.273369059209,191.661370051823,191.980613521967,190.828181505516,192.394924818046,191.942925184891,191.789141407761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.306093214254,195.95125612218,197.07497528304,198.184326729591,198.482979431818,198.937962674257,199.490448918895,199.627322399225,201.649785113143,200.944258677729,201.286645739719,201.093516384785,201.689602193988,201.423697296817,202.975154447092,203.755322346297,202.090059088921,202.265997891358,203.01533291884,201.487006105032,200.99779945375,198.556216377185,198.231176220668,197.140937485498,194.711224156421,192.440449532088,193.591289305016,194.517653253509,194.401869792889,193.747109205871,193.084078146386,192.274145896634,193.34376492958,191.597338986417,189.901137873673,189.560032735796,192.495982789899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.947064461009,194.576685203634,197.066628424185,198.115789336283,197.84626480765,199.215139100885,201.347584484322,200.757145336457,201.345136873643,202.162037693254,201.994143488811,201.471465462056,202.880720081537,202.469743669068,202.65773100571,204.211989857709,204.030688717016,204.806233808905,203.293029357191,202.531591501242,203.39514597077,202.073416452871,201.057398358903,200.729742581534,199.309071646393,198.791509471509,195.411025151577,194.343468733202,194.590510000014,195.092081000437,195.987029726959,194.62593295746,194.332497116203,193.313822443494,192.462485341578,191.609564257917,190.318945497327,190.711548435646,192.375685867413,191.774658557172,192.373614380284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.700684113433,194.935230903551,196.819133247138,196.573827004724,196.971380515159,197.631483526132,199.656308338692,200.230616775708,202.278788259685,201.959945967862,201.243018204771,202.85191014978,202.514076442197,203.256255188609,202.288330980831,203.187799628813,203.545476971537,204.316234753985,205.31629796031,204.91589790552,206.166587924397,205.170702521531,203.766571538738,203.358748179697,202.730152106439,202.941114660789,201.598543444009,199.858576248663,197.631014404163,195.960789281961,196.892469144316,196.633525057771,197.40633172799,197.296887420673,195.663617322567,194.764576077464,195.086263474001,192.732883878466,191.8309018746,194.083284365932,193.298547070254,192.74404411545,193.82881323924,192.699972596279,191.003314261035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.395830017744,194.698581771954,196.828915818093,198.622508787046,197.683059786255,199.495676918607,199.422110092031,201.14065007923,203.594434638864,202.286860823041,203.597925425524,203.250301759841,202.791275254192,204.050624725435,203.912345702734,204.894909770053,204.804923234025,205.437899712368,206.197785137058,206.161228407815,205.523524343159,206.631613205631,206.533776061857,205.643340158185,205.292865237038,203.993382947224,204.718696250213,202.461726985349,202.155597862861,199.047089166257,198.090353122767,199.054648384306,199.469022990808,200.037326545893,197.589643050036,195.813907418398,195.146676394283,195.783199593715,194.516167639809,194.491160592714,194.189654369208,193.564112089136,193.314836161438,193.015298509587,192.881420318569,192.879252341392,191.52080275898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.252684746255,194.695869254352,196.0058403319,196.970775901935,197.782726714872,198.521597826524,199.531360477864,199.470564781217,201.779363851167,202.097429967645,203.648793956214,203.651781567179,204.747688394192,204.7561140596,205.150035136391,205.353019600855,206.716683034716,206.696672101448,206.930438034503,207.26122577092,207.339063917195,205.895337952351,207.019503610093,206.499391089592,206.13898993413,206.563981913024,206.553809158804,206.184296994548,206.049119721591,203.214586588036,201.786188924175,200.283921930837,199.943832323783,200.273848680333,199.562378866855,200.555397387103,198.086388511186,198.210615367204,197.605808712435,197.760885237591,195.932961385476,195.693042413814,195.752759626389,195.702881219532,195.068598493439,195.957465472155,194.92949894634,193.332851891652,194.250931149885,191.754161477981,191.205193088875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.558719875801,194.351340653842,196.144136285761,196.910349270726,198.135271244372,199.521002444947,199.793628030184,199.225261878652,200.251897883531,203.62612741485,203.017683495367,204.623227915885,204.768542030134,205.628373645843,205.341495808743,205.356302653649,206.047074254321,207.710826371469,207.923628816928,208.050772898323,207.741357218535,207.269669062633,207.540867049146,206.655750311866,206.748643130911,206.9537421629,207.098663431771,206.738952228148,207.353083145272,206.603589989526,204.672798676775,202.125878301585,201.19923952891,200.758985193966,200.472123281203,201.37549010877,201.196359625283,200.971894759225,200.019392415029,198.686267942238,198.739722712905,197.589442654772,196.906806333773,196.100601144157,196.469555467821,195.549570680811,196.502016816462,197.232973002839,197.120230473315,195.922989892424,194.432465158447,192.538843165204,191.134307291808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
