"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719.579615387728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679.153885360306,717.904327088767,738.177547898331,735.272058492637,738.451579089478,749.019634043018,752.080447824566,771.505625865668,750.312007722359,772.040281122397,741.711801054613,727.887092393511,721.77009077281,706.19874716197,691.249813794227,673.11653579629,682.251933168984,663.705334912166,632.906125940384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.842090379438,637.266739345586,672.611227364343,684.605118828592,693.135471028522,735.272058492637,767.32065373192,784.916149510011,766.856740128127,770.146090037468,817.220976474796,806.952156824118,813.937433537327,809.178698039313,775.403120963541,775.403120963541,752.080447824566,707.404456341162,705.779710674655,706.760892436712,696.340709292553,672.634682126092,679.572160778908,659.878560029838,638.846616959032,630.971473206198,651.556670487236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.454451761423,625,650.347936649517,691.465834296967,700.57771168316,726.154200170657,753.652361681842,751.53418183613,760.345316287277,782.623792124926,782.721332739823,798.827265433523,835.265807772673,831.038506929733,827.314208009412,822.344210169926,790.569415042095,797.652806677191,809.468450075921,784.12362096664,728.868986855663,714.830759868767,718.435414104196,691.341101211725,682.125053176706,660.492240681145,649.818700165228,640.23904912968,650.480591562884,649.519925101087,629.421737965671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.636961095107,629.483915600709,642.687117037476,612.818664786066,671.363162009548,697.316284049068,721.110255092798,727.768703594444,735.69163735329,771.711470849276,787.014742085376,772.16720046712,797.116704880586,784.916149510011,799.589356753245,840.386815698581,835.426242317828,825.412520966449,830.668578903133,827.518507158615,835.595807454546,806.225774829855,784.617741323761,773.258387871529,728.868986855663,715.891053163818,704.350043833414,686.085107946365,660.241949453189,660.492240681145,648.801293563953,651.751594382963,676.505192926516,655.806413659974,644.331210338334,676.698595401942,654.209742611085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.975943732184,640.757495377568,657.563954261216,647.137517670804,632.949445058608,651.751594382963,665.676347784717,700.13114976369,721.077723776588,763.145087127777,781.024967590665,803.459260076776,801.456403287808,809.590621344336,806.196683194239,805.062109405231,827.518507158615,830.735468449189,818.802165358889,839.060528889934,830.821149510738,828.015320828419,822.258529108377,798.827265433523,784.775603344333,794.839870252781,776.208734813001,732.284069540661,715.891053163818,698.504622094478,673.087470700766,675.462804305315,669.091214387089,654.31261641512,658.30283900998,679.153885360306,678.852118306457,691.465834296967,689.231348485361,682.125053176706,686.060174690635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.383377588831,637.377439199098,649.361639995347,657.432082583022,656.220237420334,660.154706089641,656.04067521701,654.640130411232,669.091214387089,696.919014978205,734.846662949545,775.098464842545,790.016209960141,801.546346501383,809.395592008083,794.275016461081,800.390529679106,794.512429103535,834.415963413932,832.12257390495,807.000619578449,827.606994818666,794.512429103535,818.105260308399,810.662746661783,820.587748408169,804.906238305938,807.44316377101,784.617741323761,771.512698485775,745.821694508815,715.891053163818,734.930142903748,702.181837839886,692.99863049322,706.862018758111,694.857053027002,699.559180079945,695.071938722892,707.106781186548,710.605972743051,693.226096270699,696.419413859206,711.501490016098,710.545351702818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,642.748006609122,667.083203206317,691.42058121971,673.13399092836,667.083203206317,642.717561823299,664.384715978682,699.728915201623,697.293862294321,742.198850023906,753.65756856922,797.336884595396,776.58102566578,784.56789259379,804.466181020038,800.961122793901,820.0466732724,834.963321071932,831.038506929733,838.422753358709,826.14512784353,835.426242317828,824.439281145258,824.621125123532,813.767519549322,832.480114987273,838.431904254513,819.994177414605,815.257064950462,794.265061909041,771.767452021657,775.403120963541,789.50248034431,742.041103982791,753.647154794465,728.544538513366,728.868986855663,711.073132666395,716.32743909472,711.073132666395,716.196081434012,733.732592320879,739.970778629341,725.192410095757,750.301679578148,688.908806049512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.715279463085,648.629367768828,672.57897565859,682.286870251871,673.145600891813,697.170022805265,691.465834296967,697.045289720023,672.86471373811,699.752159207285,719.779918829211,705.960631983207,728.868986855663,749.166203188585,803.267779095761,813.835172485738,811.699563334658,825.977471407437,797.647773495044,805.062109405231,814.324873745117,828.250629636067,861.974358263175,834.350311793547,853.288587291569,844.428131021593,826.096369708702,838.059311529558,844.618929901631,853.365505712806,830.821149510738,809.468450075921,816.80091416031,816.101644909969,780.91462410966,794.11900871343,789.275873811706,797.652806677191,762.518255682911,745.77443712724,751.041250762865,720.331664746456,740.142380089722,735.643726227504,750,756.564881872653,776.58102566578,770.04410807083,739.10215569143,682.825014187383,680.033222850488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.539556969336,632.455532033676,657.611644786346,684.370490696435,681.151390758993,691.465834296967,697.316284049068,704.006392016436,694.372220334978,679.713595995471,686.476510887299,721.237668840646,716.316529446448,728.544538513366,755.993268280491,794.030268871646,811.123455425659,838.225198341881,825.178961842275,818.91696770796,816.183876964207,811.249036979398,807.735997414168,845.946215784432,840.386815698581,863.495801958527,849.116687625614,866.232331411825,886.002257333467,867.68322875031,826.209040515934,831.588086118136,826.011379053249,818.777689624988,827.647267862342,820.060973342836,816.241385865725,805.834365835161,817.302933553376,797.652806677191,776.368274704414,770.146090037468,749.557074191672,759.982225742816,760.128303853062,764.852927038918,769.901070693713,783.055221316023,781.024967590665,776.208734813001,728.010988928052,727.366540807742,704.006392016436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
