"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029.5630140987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960.525439585752,1017.71796350995,1013.90329241324,1030.42229985207,1039.83171715427,1030.77640640442,1033.50133042972,1024.57721658419,1028.67480516022,1030.77640640442,1012.42283656583,995.977566086108,965.660395791398,957.567076641491,951.232442747662,975.1318545844,963.294419091225,946.254087158203,909.511226997793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856.011708549363,881.535181840904,941.795380219689,972.116524250966,985.669691123676,1004.16660262699,1020.20566254765,1043.65544240906,1040.43260233424,1036.03785393178,1053.88787862979,1046.67725693099,1040.4701197561,1046.8342421325,1028.36653361741,1019.25419267089,1012.42283656583,980.647788673535,1001.62057353362,985.203024761902,1011.4964162072,965.018851371279,977.991955141373,965.769298069401,957.87984761156,986.377897856243,990.616914713069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884.675828984517,886.944018145868,919.247311281339,938.684456977748,995.336734082396,1001.12307533482,1035.01207722422,1040.75684272333,1027.75163694244,1035.01207722422,1027.94467025973,1040.73291482493,1046.81048342559,1039.85424709604,1044.47911991451,1050.29757688,1035.01207722422,1029.59334890634,1046.73172585049,1027.74745505305,1009.75200090061,992.391371981614,1013.12835832633,1007.78221853732,1000.62480480947,984.837755012392,982.115472814481,1008.23551873474,1025.38851266678,1041.99115263985,967.341229973254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,892.520204506769,951.87493515166,982.447091501781,962.441050450233,1022.95826878681,1025.27293669388,1032.88722408585,1021.48002977125,1025.38581505836,1055.11755204395,1061.28969107659,1040.52255354816,1043.74118689539,1026.40085115972,1025.95987676217,1030.77640640442,1030.77640640442,1030.95386105567,1051.44128862539,1026.33272805908,1050.47184828008,1044.03065089106,1032.13701882296,1033.50133042972,1013.03997946774,991.526600752597,999.580606199008,1005.52481951305,994.178367674561,1028.52381492156,1017.67917026864,1013.94072499112,1026.26216370216,991.963980822045,955.71036987665,976.281209488332,957.349002356762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916.947285862263,960.050508222679,995.613480786409,998.698047171567,991.863124786584,1020.30459807945,1033.67461222733,1047.07655034356,1031.08530380059,1041.99321494627,1047.39895849724,1037.47508504575,1061.24926383956,1044.62912078881,1026.55911082783,1023.27977490451,1027.76303433016,1029.66147200698,1021.33491079077,1020.20566254765,1018.91795450059,1028.65203057205,1020.5616367477,1014.97130485688,1007.79771334973,1027.77819164034,1011.52729100244,992.47166206396,995.360193596348,1015.31219715,1015.58650974215,1042.10710991525,1043.43017950248,1006.00741421182,1007.81320816215,1000,991.526600752597,976.281209488332,1000.31245118713,1000,963.391078182253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.318333684008,951.170798682644,975.812844189092,974.137867952881,980.805274664212,1000.62480480947,1006.26938059147,1028.09506604607,1044.12014028093,1030.90493293818,1032.61650912883,1049.30915418803,1068.01143626665,1068.16263198286,1055.04739230046,1027.81614372597,1025.37322739154,1029.72187544011,1029.87227122645,1028.67480516022,1013.84451374362,1008.41750584634,987.959051448,993.484754084843,1000.10135703503,1018.1158760763,1026.03578093342,1014.53494994165,1011.58893143232,1027.81614372597,1026.43861982958,1050.31988251004,1066.30608715302,1049.82262880024,1025.95987676217,1027.74023955472,1025.91422643416,990.627913414348,1011.28766091795,1011.90621088207,998.018266195532,997.709462661488,1007.78221853732,998.440749936484,985.265565146768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886.602544304132,925.725772414291,958.680693985429,1005.60926805594,1011.18742080783,1015.19702521235,987.613682655173,1036.29927611319,1060.67489908131,1081.00346076619,1095.81577621077,1041.93329920874,1051.89987788876,1060.10005528632,1043.87295242101,1044.74372143831,1015.19702521235,1026.43861982958,1023.68181005801,1016.60984680554,1007.2764975438,1006.72290517765,1007.78221853732,989.002022242624,1000.79157508936,986.694847975089,1020.4503549935,1026.30618677773,1032.59382140317,1029.72187544011,1037.58711603179,1040.53003549364,1069.57167857684,1060.95844001044,1061.24926383956,1055.10656497114,1043.95918322125,1025.30483272049,1000.46426216557,1009.42887926028,995.725002897319,1006.23835280203,1015.31219715,1009.45172813198,976.285183760878,978.083129071006,943.39811320566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.296138368221,866.962048138801,928.186597787278,942.515229226957,980.114789195633,1016.60633153694,1026.25682388784,1053.95428689817,1035.52222650714,1051.48704224065,1059.58403912806,1070.90772703643,1078.22854006669,1082.32233175089,1060.84367918944,1057.37069194996,1059.52521149132,1049.4269176855,1021.49504400987,1020.26678394571,1005.41781501479,1007.36254681019,1020.11028815516,999.734028538442,1001.62057353362,1000.07021390016,1004.6139484417,1005.66359181797,1010.3624114049,1015.31985678592,1019.81156235447,1027.92203549646,1046.72107077292,1046.9292288111,1050.41632226551,1046.72107077292,1057.50281061704,1061.2933967754,1051.54639813304,1043.13230225125,1017.80680340514,1013.36517463872,1011.4964162072,1005.87446631195,1023.31768459331,1026.21878758869,1012.42283656583,980.210255283435,964.902728947077,951.331298489796,912.53394046592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851.565226991016,874.665026535283,930.818185208858,930.626951821461,965.012953280939,992.671586212319,1003.18743344579,1073.89471931462,1051.44128862539,1051.5686450718,1048.54704503969,1090.12566694233,1076.52758616511,1079.78548216496,1064.00333867852,1079.74583683735,1083.42566409841,1063.05636836921,1050.35324661258,1044.03813283654,1020.11411682319,1021.45700771072,1006.73029481775,1011.51957671616,1005.66359181797,1025.91422643416,1019.19585314564,1030.52371571303,1033.7607033489,1026.37816343405,1009.36160339106,1013.96584788486,1020.30099209315,1032.4436449244,1040.73291482493,1045.55912037732,1034.46253900881,1044.2170606748,1061.36678925023,1057.70566363314,1036.09783861744,1025.00762081801,1013.80993088909,1013.48712723931,1020.18219884649,1020.11028815516,1005.60926805594,1027.94467025973,1000.31245118713,986.154146165801,973.717104707522,938.448574402109,926.686667914808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
