track_id,fase,inicio,fim
19790001,incipient,1979-01-01 00:00:00,1979-01-01 18:00:00
19790001,intensification,1979-01-01 21:00:00,1979-01-03 12:00:00
19790001,mature,1979-01-03 15:00:00,1979-01-04 06:00:00
19790001,decay,1979-01-04 09:00:00,1979-01-06 00:00:00
19790006,intensification,1979-01-01 12:00:00,1979-01-05 09:00:00
19790026,incipient,1979-01-08 09:00:00,1979-01-08 15:00:00
19790026,intensification,1979-01-08 18:00:00,1979-01-10 00:00:00
19790026,mature,1979-01-10 03:00:00,1979-01-10 18:00:00
19790026,decay,1979-01-10 21:00:00,1979-01-13 12:00:00
19790036,intensification,1979-01-12 15:00:00,1979-01-16 09:00:00
19790036,mature,1979-01-16 12:00:00,1979-01-17 00:00:00
19790036,decay,1979-01-17 03:00:00,1979-01-20 03:00:00
19790048,incipient,1979-01-17 06:00:00,1979-01-17 06:00:00
19790048,intensification,1979-01-17 09:00:00,1979-01-19 00:00:00
19790048,mature,1979-01-19 03:00:00,1979-01-20 00:00:00
19790048,decay,1979-01-20 03:00:00,1979-01-24 18:00:00
19790052,decay,1979-01-19 00:00:00,1979-01-20 09:00:00
19790052,intensification,1979-01-20 12:00:00,1979-01-21 00:00:00
19790057,decay,1979-01-20 18:00:00,1979-01-21 03:00:00
19790057,intensification,1979-01-21 06:00:00,1979-01-22 21:00:00
19790063,incipient,1979-01-22 18:00:00,1979-01-22 18:00:00
19790063,intensification,1979-01-22 21:00:00,1979-01-24 09:00:00
19790063,mature,1979-01-24 12:00:00,1979-01-24 18:00:00
19790063,decay,1979-01-24 21:00:00,1979-01-26 09:00:00
19790071,incipient,1979-01-25 03:00:00,1979-01-25 09:00:00
19790071,intensification,1979-01-25 12:00:00,1979-01-25 15:00:00
19790071,decay,1979-01-25 18:00:00,1979-01-26 00:00:00
19790071,intensification 2,1979-01-26 03:00:00,1979-01-26 09:00:00
19790076,intensification,1979-01-27 06:00:00,1979-01-28 06:00:00
19790079,incipient,1979-01-29 00:00:00,1979-01-29 03:00:00
19790079,intensification,1979-01-29 06:00:00,1979-01-30 09:00:00
19790079,mature,1979-01-30 12:00:00,1979-01-31 00:00:00
19790079,decay,1979-01-31 03:00:00,1979-02-02 15:00:00
19790080,incipient,1979-01-29 03:00:00,1979-01-29 09:00:00
19790080,decay,1979-01-29 12:00:00,1979-01-30 09:00:00
19790087,incipient,1979-01-31 18:00:00,1979-02-01 00:00:00
19790087,intensification,1979-02-01 03:00:00,1979-02-02 06:00:00
19790087,mature,1979-02-02 09:00:00,1979-02-02 15:00:00
19790087,decay,1979-02-02 18:00:00,1979-02-03 21:00:00
19790094,incipient,1979-02-03 18:00:00,1979-02-04 06:00:00
19790094,intensification,1979-02-04 09:00:00,1979-02-07 00:00:00
19790094,mature,1979-02-07 03:00:00,1979-02-08 03:00:00
19790094,decay,1979-02-08 06:00:00,1979-02-12 18:00:00
19790097,incipient,1979-02-04 03:00:00,1979-02-04 12:00:00
19790097,intensification,1979-02-04 15:00:00,1979-02-06 06:00:00
19790097,mature,1979-02-06 09:00:00,1979-02-07 00:00:00
19790097,decay,1979-02-07 03:00:00,1979-02-09 18:00:00
19790097,residual,1979-02-09 21:00:00,1979-02-12 21:00:00
19790101,incipient,1979-02-06 12:00:00,1979-02-07 03:00:00
19790101,intensification,1979-02-07 06:00:00,1979-02-09 00:00:00
19790101,mature,1979-02-09 03:00:00,1979-02-09 18:00:00
19790101,decay,1979-02-09 21:00:00,1979-02-11 18:00:00
19790101,intensification 2,1979-02-11 21:00:00,1979-02-13 09:00:00
19790101,mature 2,1979-02-13 12:00:00,1979-02-13 18:00:00
19790101,decay 2,1979-02-13 21:00:00,1979-02-14 18:00:00
19790119,incipient,1979-02-14 06:00:00,1979-02-14 12:00:00
19790119,intensification,1979-02-14 15:00:00,1979-02-15 09:00:00
19790119,mature,1979-02-15 12:00:00,1979-02-15 18:00:00
19790119,decay,1979-02-15 21:00:00,1979-02-17 03:00:00
19790131,decay,1979-02-19 00:00:00,1979-02-19 03:00:00
19790131,intensification,1979-02-19 06:00:00,1979-02-19 15:00:00
19790131,decay 2,1979-02-19 18:00:00,1979-02-19 21:00:00
19790135,incipient,1979-02-20 00:00:00,1979-02-20 12:00:00
19790135,intensification,1979-02-20 15:00:00,1979-02-22 06:00:00
19790135,mature,1979-02-22 09:00:00,1979-02-23 00:00:00
19790135,decay,1979-02-23 03:00:00,1979-02-26 03:00:00
19790135,residual,1979-02-26 06:00:00,1979-02-26 21:00:00
19790137,decay,1979-02-20 12:00:00,1979-02-20 15:00:00
19790137,intensification,1979-02-20 18:00:00,1979-02-21 00:00:00
19790137,decay 2,1979-02-21 03:00:00,1979-02-21 09:00:00
19790140,incipient,1979-02-22 12:00:00,1979-02-22 15:00:00
19790140,intensification,1979-02-22 18:00:00,1979-02-23 15:00:00
19790140,mature,1979-02-23 18:00:00,1979-02-23 21:00:00
19790140,decay,1979-02-24 00:00:00,1979-02-24 06:00:00
19790144,incipient,1979-02-24 12:00:00,1979-02-25 03:00:00
19790144,intensification,1979-02-25 06:00:00,1979-02-26 15:00:00
19790144,mature,1979-02-26 18:00:00,1979-02-27 03:00:00
19790144,decay,1979-02-27 06:00:00,1979-02-28 06:00:00
19790147,decay,1979-02-26 12:00:00,1979-02-27 00:00:00
19790147,intensification,1979-02-27 03:00:00,1979-02-28 00:00:00
19790147,mature,1979-02-28 03:00:00,1979-02-28 09:00:00
19790147,decay 2,1979-02-28 12:00:00,1979-03-01 18:00:00
19790166,incipient,1979-03-05 00:00:00,1979-03-06 12:00:00
19790166,intensification,1979-03-06 15:00:00,1979-03-09 18:00:00
19790166,mature,1979-03-09 21:00:00,1979-03-10 09:00:00
19790166,decay,1979-03-10 12:00:00,1979-03-12 03:00:00
19790168,incipient,1979-03-05 15:00:00,1979-03-05 15:00:00
19790168,intensification,1979-03-05 18:00:00,1979-03-06 09:00:00
19790168,mature,1979-03-06 12:00:00,1979-03-06 18:00:00
19790168,decay,1979-03-06 21:00:00,1979-03-07 18:00:00
19790168,intensification 2,1979-03-07 21:00:00,1979-03-08 12:00:00
19790168,mature 2,1979-03-08 15:00:00,1979-03-08 18:00:00
19790168,decay 2,1979-03-08 21:00:00,1979-03-09 06:00:00
19790171,intensification,1979-03-06 12:00:00,1979-03-07 21:00:00
19790171,mature,1979-03-08 00:00:00,1979-03-08 15:00:00
19790171,decay,1979-03-08 18:00:00,1979-03-12 21:00:00
19790178,incipient,1979-03-10 03:00:00,1979-03-10 09:00:00
19790178,intensification,1979-03-10 12:00:00,1979-03-11 18:00:00
19790178,mature,1979-03-11 21:00:00,1979-03-12 03:00:00
19790178,decay,1979-03-12 06:00:00,1979-03-12 18:00:00
19790193,intensification,1979-03-14 12:00:00,1979-03-16 12:00:00
19790193,mature,1979-03-16 15:00:00,1979-03-17 09:00:00
19790193,decay,1979-03-17 12:00:00,1979-03-21 09:00:00
19790193,residual,1979-03-21 12:00:00,1979-03-24 09:00:00
19790194,incipient,1979-03-14 12:00:00,1979-03-14 12:00:00
19790194,intensification,1979-03-14 15:00:00,1979-03-15 12:00:00
19790194,mature,1979-03-15 15:00:00,1979-03-16 03:00:00
19790194,decay,1979-03-16 06:00:00,1979-03-18 21:00:00
19790205,incipient,1979-03-18 15:00:00,1979-03-19 06:00:00
19790205,intensification,1979-03-19 09:00:00,1979-03-23 21:00:00
19790205,mature,1979-03-24 00:00:00,1979-03-25 00:00:00
19790205,decay,1979-03-25 03:00:00,1979-03-26 21:00:00
19790213,incipient,1979-03-21 12:00:00,1979-03-23 09:00:00
19790213,intensification,1979-03-23 12:00:00,1979-03-27 09:00:00
