track_id,status,frac_unclassified,mendeley_inicio,mendeley_fim,lec_inicio,lec_fim
19790001,id_presente_no_mendeley,0.0496,1979-01-01 00:00:00,1979-01-06 00:00:00,1979-01-01 00:00:00,1979-01-06 00:00:00
19790006,id_presente_no_mendeley,0.8148,1979-01-04 14:00:00,1979-01-09 01:00:00,1979-01-01 12:00:00,1979-01-05 09:00:00
19790026,id_presente_no_mendeley,1.0,1979-01-18 22:00:00,1979-01-21 02:00:00,1979-01-08 09:00:00,1979-01-13 12:00:00
19790036,id_presente_no_mendeley,1.0,1979-01-22 18:00:00,1979-01-26 11:00:00,1979-01-12 15:00:00,1979-01-20 03:00:00
19790048,id_presente_no_mendeley,1.0,1979-01-29 03:00:00,1979-01-30 09:00:00,1979-01-17 06:00:00,1979-01-24 18:00:00
19790052,id_presente_no_mendeley,1.0,1979-01-30 10:00:00,1979-01-31 23:00:00,1979-01-19 00:00:00,1979-01-21 00:00:00
19790057,id_presente_no_mendeley,1.0,1979-02-02 17:00:00,1979-02-06 03:00:00,1979-01-20 18:00:00,1979-01-22 21:00:00
19790063,id_presente_no_mendeley,1.0,1979-02-06 10:00:00,1979-02-14 19:00:00,1979-01-22 18:00:00,1979-01-26 09:00:00
19790071,id_presente_no_mendeley,1.0,1979-02-15 10:00:00,1979-02-16 11:00:00,1979-01-25 03:00:00,1979-01-26 09:00:00
19790076,id_presente_no_mendeley,1.0,1979-02-18 10:00:00,1979-02-20 07:00:00,1979-01-27 06:00:00,1979-01-28 06:00:00
19790079,id_presente_no_mendeley,1.0,1979-02-19 22:00:00,1979-02-26 21:00:00,1979-01-29 00:00:00,1979-02-02 15:00:00
19790080,id_presente_no_mendeley,1.0,1979-02-22 11:00:00,1979-02-24 08:00:00,1979-01-29 03:00:00,1979-01-30 09:00:00
19790087,id_presente_no_mendeley,1.0,1979-02-26 22:00:00,1979-02-28 11:00:00,1979-01-31 18:00:00,1979-02-03 21:00:00
19790094,id_presente_no_mendeley,1.0,1979-03-04 03:00:00,1979-03-06 21:00:00,1979-02-03 18:00:00,1979-02-12 18:00:00
19790097,id_presente_no_mendeley,1.0,1979-03-06 10:00:00,1979-03-12 21:00:00,1979-02-04 03:00:00,1979-02-12 21:00:00
19790101,id_presente_no_mendeley,1.0,1979-03-10 05:00:00,1979-03-11 06:00:00,1979-02-06 12:00:00,1979-02-14 18:00:00
19790119,id_presente_no_mendeley,1.0,1979-03-20 01:00:00,1979-03-21 09:00:00,1979-02-14 06:00:00,1979-02-17 03:00:00
19790131,id_presente_no_mendeley,1.0,1979-03-27 22:00:00,1979-03-30 21:00:00,1979-02-19 00:00:00,1979-02-19 21:00:00
19790135,id_presente_no_mendeley,1.0,1979-03-29 06:00:00,1979-04-11 07:00:00,1979-02-20 00:00:00,1979-02-26 21:00:00
19790137,id_presente_no_mendeley,1.0,1979-03-29 22:00:00,1979-04-05 02:00:00,1979-02-20 12:00:00,1979-02-21 09:00:00
19790140,id_presente_no_mendeley,1.0,1979-04-01 10:00:00,1979-04-08 19:00:00,1979-02-22 12:00:00,1979-02-24 06:00:00
19790144,id_presente_no_mendeley,1.0,1979-04-02 22:00:00,1979-04-04 20:00:00,1979-02-24 12:00:00,1979-02-28 06:00:00
19790147,id_presente_no_mendeley,1.0,1979-04-03 16:00:00,1979-04-05 22:00:00,1979-02-26 12:00:00,1979-03-01 18:00:00
19790166,id_presente_no_mendeley,1.0,1979-04-12 10:00:00,1979-04-16 09:00:00,1979-03-05 00:00:00,1979-03-12 03:00:00
19790168,id_presente_no_mendeley,1.0,1979-04-12 19:00:00,1979-04-19 09:00:00,1979-03-05 15:00:00,1979-03-09 06:00:00
19790171,id_presente_no_mendeley,1.0,1979-04-14 22:00:00,1979-04-19 01:00:00,1979-03-06 12:00:00,1979-03-12 21:00:00
19790178,id_presente_no_mendeley,1.0,1979-04-18 10:00:00,1979-04-20 03:00:00,1979-03-10 03:00:00,1979-03-12 18:00:00
19790193,id_presente_no_mendeley,1.0,1979-04-25 10:00:00,1979-04-28 22:00:00,1979-03-14 12:00:00,1979-03-24 09:00:00
19790194,id_presente_no_mendeley,1.0,1979-04-25 21:00:00,1979-04-27 00:00:00,1979-03-14 12:00:00,1979-03-18 21:00:00
19790205,id_presente_no_mendeley,1.0,1979-05-01 00:00:00,1979-05-02 13:00:00,1979-03-18 15:00:00,1979-03-26 21:00:00
19790213,id_presente_no_mendeley,1.0,1979-05-05 13:00:00,1979-05-14 10:00:00,1979-03-21 12:00:00,1979-04-01 21:00:00
19790221,id_presente_no_mendeley,1.0,1979-05-10 18:00:00,1979-05-14 21:00:00,1979-03-24 15:00:00,1979-03-25 21:00:00
19790236,id_presente_no_mendeley,1.0,1979-05-17 10:00:00,1979-05-19 03:00:00,1979-03-28 12:00:00,1979-04-01 09:00:00
19790237,id_presente_no_mendeley,1.0,1979-05-17 17:00:00,1979-05-24 19:00:00,1979-03-29 06:00:00,1979-04-11 06:00:00
19790256,id_presente_no_mendeley,1.0,1979-05-28 15:00:00,1979-05-31 19:00:00,1979-04-03 15:00:00,1979-04-13 21:00:00
19790257,id_presente_no_mendeley,1.0,1979-05-28 22:00:00,1979-05-30 21:00:00,1979-04-03 18:00:00,1979-04-05 21:00:00
19790273,id_presente_no_mendeley,1.0,1979-06-03 22:00:00,1979-06-04 21:00:00,1979-04-09 12:00:00,1979-04-15 06:00:00
19790293,id_presente_no_mendeley,1.0,1979-06-13 22:00:00,1979-06-16 23:00:00,1979-04-16 12:00:00,1979-04-17 21:00:00
19790300,id_presente_no_mendeley,1.0,1979-06-16 10:00:00,1979-06-18 04:00:00,1979-04-18 12:00:00,1979-04-20 03:00:00
19790304,id_presente_no_mendeley,1.0,1979-06-17 18:00:00,1979-06-20 21:00:00,1979-04-19 06:00:00,1979-04-24 03:00:00
19790317,id_presente_no_mendeley,1.0,1979-06-21 10:00:00,1979-06-24 07:00:00,1979-04-22 00:00:00,1979-04-23 03:00:00
19790322,id_presente_no_mendeley,1.0,1979-06-24 22:00:00,1979-06-25 21:00:00,1979-04-23 12:00:00,1979-05-03 09:00:00
19790336,id_presente_no_mendeley,1.0,1979-07-02 18:00:00,1979-07-04 00:00:00,1979-04-28 06:00:00,1979-04-30 06:00:00
19790339,id_presente_no_mendeley,1.0,1979-07-03 23:00:00,1979-07-05 12:00:00,1979-04-28 09:00:00,1979-05-04 09:00:00
19790349,id_presente_no_mendeley,1.0,1979-07-09 14:00:00,1979-07-12 22:00:00,1979-05-02 15:00:00,1979-05-04 21:00:00
19790361,id_presente_no_mendeley,1.0,1979-07-14 22:00:00,1979-07-16 21:00:00,1979-05-05 15:00:00,1979-05-06 21:00:00
19790368,id_presente_no_mendeley,1.0,1979-07-19 05:00:00,1979-07-24 19:00:00,1979-05-07 12:00:00,1979-05-09 00:00:00
19790369,id_presente_no_mendeley,1.0,1979-07-19 10:00:00,1979-07-20 23:00:00,1979-05-07 15:00:00,1979-05-14 09:00:00
19790384,id_presente_no_mendeley,1.0,1979-07-25 22:00:00,1979-07-26 22:00:00,1979-05-13 03:00:00,1979-05-16 09:00:00
19790385,id_presente_no_mendeley,1.0,1979-07-26 05:00:00,1979-07-30 12:00:00,1979-05-13 15:00:00,1979-05-16 15:00:00
19790391,id_presente_no_mendeley,1.0,1979-07-28 10:00:00,1979-08-01 21:00:00,1979-05-15 00:00:00,1979-05-23 00:00:00
19790394,id_presente_no_mendeley,1.0,1979-07-29 10:00:00,1979-08-01 21:00:00,1979-05-15 12:00:00,1979-05-18 21:00:00
19790406,id_presente_no_mendeley,1.0,1979-08-03 10:00:00,1979-08-05 10:00:00,1979-05-19 09:00:00,1979-05-25 21:00:00
19790407,id_presente_no_mendeley,1.0,1979-08-03 15:00:00,1979-08-06 12:00:00,1979-05-19 12:00:00,1979-05-20 09:00:00
19790410,id_presente_no_mendeley,1.0,1979-08-06 10:00:00,1979-08-09 12:00:00,1979-05-21 03:00:00,1979-05-22 15:00:00
19790414,id_presente_no_mendeley,1.0,1979-08-08 08:00:00,1979-08-11 06:00:00,1979-05-22 12:00:00,1979-05-28 09:00:00
19790419,id_presente_no_mendeley,1.0,1979-08-10 10:00:00,1979-08-17 12:00:00,1979-05-24 00:00:00,1979-05-31 21:00:00
19790430,id_presente_no_mendeley,1.0,1979-08-16 22:00:00,1979-08-19 02:00:00,1979-05-28 09:00:00,1979-05-30 09:00:00
19790434,id_presente_no_mendeley,1.0,1979-08-17 10:00:00,1979-08-19 16:00:00,1979-05-30 06:00:00,1979-05-31 03:00:00
19790451,id_presente_no_mendeley,1.0,1979-08-24 04:00:00,1979-08-25 13:00:00,1979-06-02 06:00:00,1979-06-05 21:00:00
19790455,id_presente_no_mendeley,1.0,1979-08-25 22:00:00,1979-08-26 21:00:00,1979-06-03 03:00:00,1979-06-11 09:00:00
19790473,id_presente_no_mendeley,1.0,1979-09-03 17:00:00,1979-09-08 09:00:00,1979-06-08 03:00:00,1979-06-11 18:00:00
19790483,id_presente_no_mendeley,1.0,1979-09-09 01:00:00,1979-09-13 09:00:00,1979-06-11 06:00:00,1979-06-14 18:00:00
19790497,id_presente_no_mendeley,1.0,1979-09-15 10:00:00,1979-09-22 01:00:00,1979-06-15 06:00:00,1979-06-16 09:00:00
19790506,id_presente_no_mendeley,1.0,1979-09-20 22:00:00,1979-09-23 21:00:00,1979-06-16 12:00:00,1979-06-18 03:00:00
19790513,id_presente_no_mendeley,1.0,1979-09-24 21:00:00,1979-09-26 14:00:00,1979-06-18 03:00:00,1979-06-19 09:00:00
19790535,id_presente_no_mendeley,1.0,1979-10-04 02:00:00,1979-10-07 15:00:00,1979-06-23 15:00:00,1979-06-26 03:00:00
